MƏMMƏDOVA,179287
MƏMMƏDOV,168500
ƏLİYEVA,138654
ƏLİYEV,129974
HÜSEYNOVA,88156
HÜSEYNOV,81778
HƏSƏNOVA,70613
HƏSƏNOV,66493
QULİYEVA,62573
QULİYEV,59479
İSMAYILOVA,52278
ƏHMƏDOVA,50100
İSMAYILOV,48780
ƏHMƏDOV,46845
ABDULLAYEVA,46152
ABDULLAYEV,43821
CƏFƏROVA,38345
ABBASOVA,38321
AĞAYEVA,37533
CƏFƏROV,36485
AĞAYEV,36187
KƏRİMOVA,36094
ABBASOV,36037
QASIMOVA,35534
BABAYEVA,35406
QASIMOV,33869
BABAYEV,33761
KƏRİMOV,33710
İBRAHİMOVA,31168
HACIYEVA,29942
İBRAHİMOV,29438
HACIYEV,27834
QURBANOVA,27013
BAYRAMOVA,26972
BAYRAMOV,25961
QURBANOV,25780
MUSTAFAYEVA,24587
MUSTAFAYEV,23432
VƏLİYEVA,22953
MUSAYEVA,22404
RZAYEVA,22373
MİRZƏYEVA,22194
VƏLİYEV,21751
MİRZƏYEV,21483
MUSAYEV,21058
RZAYEV,21043
ZEYNALOVA,21032
SÜLEYMANOVA,20504
ƏSGƏROVA,20005
ZEYNALOV,19790
SÜLEYMANOV,19493
SƏFƏROVA,19130
ƏSGƏROV,18884
RƏHİMOVA,18676
BAĞIROVA,18599
SƏFƏROV,18220
RÜSTƏMOVA,18072
XƏLİLOVA,17865
TAĞIYEVA,17711
RƏHİMOV,17501
BAĞIROV,17428
RÜSTƏMOV,17030
XƏLİLOV,16900
ALLAHVERDİYEVA,16783
TAĞIYEV,16643
MƏHƏRRƏMOVA,16405
ALLAHVERDİYEV,16017
MƏHƏRRƏMOV,15781
MURADOVA,15332
MAHMUDOVA,14792
ƏSƏDOVA,14732
ƏLƏKBƏROVA,14708
MURADOV,14448
MEHDİYEVA,14313
MAHMUDOV,14108
ƏSƏDOV,13953
ƏZİZOVA,13936
SADIQOVA,13873
ƏLƏKBƏROV,13675
MEHDİYEV,13671
ORUCOVA,13397
ƏZİZOV,13287
SADIQOV,13059
ORUCOV,12857
ASLANOVA,12625
YUSİFOVA,12333
ƏLİZADƏ,12287
QARAYEVA,12187
KAZIMOVA,12152
NOVRUZOVA,12101
QARAYEV,11876
ASLANOV,11828
NOVRUZOV,11770
SƏMƏDOVA,11727
MƏMMƏDLİ,11647
YUSİFOV,11604
İSAYEVA,11518
SƏMƏDOV,11357
KAZIMOV,11213
DADAŞOVA,11084
NƏBİYEVA,11032
İSAYEV,10965
DADAŞOV,10648
ŞİRİNOVA,10468
NƏBİYEV,10455
NƏCƏFOVA,10434
NAĞIYEVA,10272
NƏSİROVA,10142
NƏCƏFOV,10113
ŞİRİNOV,10100
İSGƏNDƏROVA,9717
NAĞIYEV,9703
NƏSİROV,9407
İMANOVA,9274
ŞÜKÜROVA,9230
İSGƏNDƏROV,9119
PAŞAYEVA,9112
NURİYEVA,9091
ƏKBƏROVA,9090
CAVADOVA,8966
ŞÜKÜROV,8823
İMANOV,8809
NURİYEV,8680
ƏKBƏROV,8660
PAŞAYEV,8565
RƏSULOVA,8281
CAVADOV,8228
SEYİDOVA,8198
HEYDƏROVA,7904
ALIYEVA,7874
ALIYEV,7676
RƏSULOV,7610
CABBAROVA,7586
SEYİDOV,7505
MƏLİKOVA,7471
HƏMİDOVA,7395
HEYDƏROV,7368
ABASOVA,7268
SƏLİMOVA,7196
CABBAROV,7166
ABASOV,7097
QƏHRƏMANOVA,7096
HƏMİDOV,6966
MƏLİKOV,6937
SƏLİMOV,6830
QƏDİROVA,6760
QƏHRƏMANOV,6700
SALMANOVA,6690
QƏDİROV,6490
MƏMMƏDZADƏ,6487
NƏSİBOVA,6428
EYVAZOVA,6338
SALMANOV,6332
OSMANOVA,6322
ƏMİROVA,6293
MİKAYILOVA,6283
CƏBRAYILOVA,6232
ƏLƏSGƏROVA,6221
SULTANOVA,6220
CƏBRAYILOV,6133
NAMAZOVA,6131
RAMAZANOVA,6090
HÜSEYNLİ,6079
AXUNDOVA,6061
MİKAYILOV,6037
OSMANOV,6007
ƏMİROV,5977
HƏŞİMOVA,5921
ƏLƏSGƏROV,5911
RAMAZANOV,5907
QAFAROVA,5898
NƏSİBOV,5864
EYVAZOV,5855
SULTANOV,5806
NAMAZOV,5778
CƏLİLOVA,5734
HƏŞİMOV,5661
ƏZİMOVA,5620
HÜMBƏTOVA,5574
QAFAROV,5493
NƏZƏROVA,5442
CƏLİLOV,5440
ƏZİMOV,5416
FƏRƏCOVA,5404
HÜMBƏTOV,5379
BƏDƏLOVA,5213
AXUNDOV,5209
FƏRƏCOV,5191
MEHTİYEVA,5110
TALIBOVA,5107
HƏSƏNLİ,5105
BƏDƏLOV,5063
NƏZƏROV,5045
MEHTİYEV,5029
BƏŞİROVA,4971
TALIBOV,4918
BƏŞİROV,4840
FƏRZƏLİYEVA,4727
HÜSEYNZADƏ,4674
KƏRİMLİ,4555
FƏRZƏLİYEV,4477
QOCAYEVA,4462
QƏNBƏROVA,4456
ŞAHBAZOVA,4296
ŞAHBAZOV,4269
VERDİYEVA,4251
İBADOVA,4241
VERDİYEV,4216
QOCAYEV,4170
QƏNBƏROV,4166
RƏCƏBOVA,4132
AĞAZADƏ,4109
ŞƏRİFOVA,4080
ƏSKƏROV,4077
ƏSKƏROVA,4053
YAQUBOVA,4019
YAQUBOV,3950
SOLTANOVA,3907
QULUZADƏ,3899
İBADOV,3880
QULUYEVA,3860
SOLTANOV,3817
ŞƏRİFOV,3776
RƏCƏBOV,3725
SALAHOVA,3724
QULUYEV,3704
ZAMANOVA,3699
MƏCİDOVA,3694
TAHİROVA,3653
SALAHOV,3600
İSKƏNDƏROVA,3586
ATAKİŞİYEVA,3580
MAMEDOV,3560
İSKƏNDƏROV,3556
MAMEDOVA,3545
ZAMANOV,3543
MƏCİDOV,3532
ATAKİŞİYEV,3512
ŞABANOVA,3495
HƏSƏNZADƏ,3471
TAHİROV,3431
ƏHƏDOVA,3427
ƏHƏDOV,3427
PİRİYEVA,3422
ƏHMƏDLİ,3387
ƏMİRASLANOVA,3386
MUXTAROVA,3360
PİRİYEV,3285
ƏFƏNDİYEVA,3250
ŞABANOV,3245
ƏMİRASLANOV,3236
BAXIŞOVA,3227
YUSUBOVA,3213
MUXTAROV,3201
CƏFƏRLİ,3168
BAXIŞOV,3163
TEYMUROVA,3136
DƏMİROVA,3129
FƏTULLAYEVA,3123
YUSUBOV,3116
DƏMİROV,3073
ƏBİLOVA,3057
FƏTULLAYEV,3010
İSMAYILZADƏ,2998
FƏTƏLİYEVA,2993
TEYMUROV,2986
HƏMZƏYEVA,2963
QƏRİBOV,2961
İSLAMOVA,2948
ADIGÖZƏLOVA,2926
ƏBİLOV,2922
QƏRİBOVA,2919
FƏTƏLİYEV,2902
HƏMZƏYEV,2900
İBRAHİMLİ,2897
CƏBİYEVA,2885
CƏBİYEV,2853
ABIŞOV,2846
İSLAMOV,2846
RƏHİMLİ,2827
HƏBİBOVA,2817
ABIŞOVA,2813
MÜRSƏLOVA,2794
ƏMRAHOVA,2792
